id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
247,学,U+5B66,學,U+5B78,學:U+5B78,xue2,子,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,学习|学问|学校|学科,学：现代主要用于表示学习；学问；学校；学科。常见用法如：学习、学校、学生、科学、学问。,学习|学校|学生|科学|学问,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：學；需复核简繁对应、异体来源和义项是否完全合并。
248,书,U+4E66,書,U+66F8,書:U+66F8,shu1,乛,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,书写|书籍|信件|文件,书：现代主要用于表示书写；书籍；信件；文件。常见用法如：书本、读书、书法、书信、证书。,书本|读书|书法|书信|证书,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：書；需复核简繁对应、异体来源和义项是否完全合并。
249,事,U+4E8B,事,,,shi4,亅,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,事情|职业|侍奉|事故,事：现代主要用于表示事情；职业；侍奉；事故。常见用法如：事情、故事、事业、办事、事故。,事情|故事|事业|办事|事故,draft,pending,pending,pending,none,history_pending,
250,物,U+7269,物,,,wu4,牜,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,东西|事物|内容|他人,物：现代主要用于表示东西；事物；内容；他人。常见用法如：事物、物品、动物、人物、万物。,事物|物品|动物|人物|万物,draft,pending,pending,pending,none,history_pending,
251,工,U+5DE5,工,,,gong1,工,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,工人|工作|工程|精巧,工：现代主要用于表示工人；工作；工程；精巧。常见用法如：工人、工作、工程、工业、人工。,工人|工作|工程|工业|人工,draft,pending,pending,pending,none,history_pending,
252,业,U+4E1A,業,U+696D,業:U+696D,ye4,一,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行业|事业|学业|财产,业：现代主要用于表示行业；事业；学业；财产。常见用法如：工业、事业、作业、农业、毕业。,工业|事业|作业|农业|毕业,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：業；需复核简繁对应、异体来源和义项是否完全合并。
253,方,U+65B9,方,,,fang1,方,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,方向|方法|地方|方正,方：现代主要用于表示方向；方法；地方；方正。常见用法如：方向、方法、地方、方面、方才。,方向|方法|地方|方面|方才,draft,pending,pending,pending,none,history_pending,
254,面,U+9762,面|麵,U+9EB5,麵:U+9EB5,mian4,面,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,脸|表面|方面|面粉,面：现代主要用于表示脸；表面；方面；面粉。常见用法如：面前、面条、方面、表面、见面。,面前|面条|方面|表面|见面,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：麵；需复核简繁对应、异体来源和义项是否完全合并。
255,点,U+70B9,點,U+9EDE,點:U+9EDE,dian3,灬,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,小痕迹|一点儿|时刻|点明,点：现代主要用于表示小痕迹；一点儿；时刻；点明。常见用法如：一点、点头、地点、时间点、点心。,一点|点头|地点|时间点|点心,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：點；需复核简繁对应、异体来源和义项是否完全合并。
256,力,U+529B,力,,,li4,力,2,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,力量|能力|用力,力：现代主要用于表示力量；能力；用力。常见用法如：力量、能力、努力、动力、力气。,力量|能力|努力|动力|力气,draft,pending,pending,pending,none,history_pending,
257,理,U+7406,理,,,li3,王,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,条理|道理|治理|理会,理：现代主要用于表示条理；道理；治理；理会。常见用法如：道理、理解、整理、理想、理由。,道理|理解|整理|理想|理由,draft,pending,pending,pending,none,history_pending,
258,体,U+4F53,體,U+9AD4,體:U+9AD4,ti3,亻,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,身体|整体|体制|亲身,体：现代主要用于表示身体；整体；体制；亲身。常见用法如：身体、体育、整体、体会、字体。,身体|体育|整体|体会|字体,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：體；需复核简繁对应、异体来源和义项是否完全合并。
259,政,U+653F,政,,,zheng4,攵,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,政治|政事|治理,政：现代主要用于表示政治；政事；治理。常见用法如：政治、政府、政权、政事、政策。,政治|政府|政权|政事|政策,draft,pending,pending,pending,none,history_pending,
260,府,U+5E9C,府,,,fu3,广,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,官署|府第|旧时行政区,府：现代主要用于表示官署；府第；旧时行政区。常见用法如：政府、官府、府上、王府、学府。,政府|官府|府上|王府|学府,draft,pending,pending,pending,none,history_pending,
261,区,U+533A,區,U+5340,區:U+5340,qu1|ou1,匚,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,区域|区别|行政区,区：现代主要用于表示区域；区别；行政区。常见用法如：地区、区别、区域、小区、区分。,地区|区别|区域|小区|区分,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：qu1、ou1；需按义项和常用词复核读音排序。|含繁体/异体：區；需复核简繁对应、异体来源和义项是否完全合并。
262,市,U+5E02,市,,,shi4,巾,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,市场|城市|买卖,市：现代主要用于表示市场；城市；买卖。常见用法如：城市、市场、市民、上市、市区。,城市|市场|市民|上市|市区,draft,pending,pending,pending,none,history_pending,
263,县,U+53BF,縣,U+7E23,縣:U+7E23,xian4,厶,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行政区划|县级区域,县：现代主要用于表示行政区划；县级区域。常见用法如：县城、县长、县级、县份、县市。,县城|县长|县级|县份|县市,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：縣；需复核简繁对应、异体来源和义项是否完全合并。
264,省,U+7701,省,,,sheng3|xing3,目,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行政区|节省|察看|醒悟,省：现代主要用于表示行政区；节省；察看；醒悟。常见用法如：省份、节省、省会、反省、省心。,省份|节省|省会|反省|省心,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：sheng3、xing3；需按义项和常用词复核读音排序。
265,部,U+90E8,部,,,bu4,阝,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,部分|部门|部队|部首,部：现代主要用于表示部分；部门；部队；部首。常见用法如：部分、部门、部队、部长、部首。,部分|部门|部队|部长|部首,draft,pending,pending,pending,none,history_pending,
266,队,U+961F,隊,U+968A,隊:U+968A,dui4,阝,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行列|队伍|量词,队：现代主要用于表示行列；队伍；量词。常见用法如：队伍、军队、排队、球队、队长。,队伍|军队|排队|球队|队长,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：隊；需复核简繁对应、异体来源和义项是否完全合并。
267,军,U+519B,軍,U+8ECD,軍:U+8ECD,jun1,冖,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,军队|军事|军人,军：现代主要用于表示军队；军事；军人。常见用法如：军队、军事、军人、红军、冠军。,军队|军事|军人|红军|冠军,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：軍；需复核简繁对应、异体来源和义项是否完全合并。
268,士,U+58EB,士,,,shi4,士,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,古代男子|读书人|军人|专业人员,士：现代主要用于表示古代男子；读书人；军人；专业人员。常见用法如：士兵、护士、博士、勇士、女士。,士兵|护士|博士|勇士|女士,draft,pending,pending,pending,none,history_pending,
269,员,U+5458,員,U+54E1,員:U+54E1,yuan2|yun2,口,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,人员|成员|量词,员：现代主要用于表示人员；成员；量词。常见用法如：人员、成员、员工、演员、委员。,人员|成员|员工|演员|委员,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：yuan2、yun2；需按义项和常用词复核读音排序。|含繁体/异体：員；需复核简繁对应、异体来源和义项是否完全合并。
270,边,U+8FB9,邊,U+908A,邊:U+908A,bian1,辶,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,旁边|边界|方面,边：现代主要用于表示旁边；边界；方面。常见用法如：旁边、边界、身边、一边、边防。,旁边|边界|身边|一边|边防,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：邊；需复核简繁对应、异体来源和义项是否完全合并。
271,内,U+5185,內,U+5167,內:U+5167,nei4,冂,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,里面|内部|妻子或亲近者,内：现代主要用于表示里面；内部；妻子或亲近者。常见用法如：里面、内部、国内、内容、内心。,里面|内部|国内|内容|内心,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：內；需复核简繁对应、异体来源和义项是否完全合并。
272,外,U+5916,外,,,wai4,夕,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,外面|外国|非正式|另外,外：现代主要用于表示外面；外国；非正式；另外。常见用法如：外面、外国、另外、外地、意外。,外面|外国|另外|外地|意外,draft,pending,pending,pending,none,history_pending,
273,间,U+95F4,間,U+9593,間:U+9593,jian1|jian4,门,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,中间|房间|时间|间隔,间：现代主要用于表示中间；房间；时间；间隔。常见用法如：中间、房间、时间、空间、间接。,中间|房间|时间|空间|间接,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：jian1、jian4；需按义项和常用词复核读音排序。|含繁体/异体：間；需复核简繁对应、异体来源和义项是否完全合并。
274,路,U+8DEF,路,,,lu4,足,13,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,道路|路程|途径|条理,路：现代主要用于表示道路；路程；途径；条理。常见用法如：道路、马路、路线、路上、思路。,道路|马路|路线|路上|思路,draft,pending,pending,pending,none,history_pending,
275,场,U+573A,場,U+5834,場:U+5834,chang3|chang2,土,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,场地|场合|量词,场：现代主要用于表示场地；场合；量词。常见用法如：广场、市场、场地、一场、场面。,广场|市场|场地|一场|场面,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：chang3、chang2；需按义项和常用词复核读音排序。|含繁体/异体：場；需复核简繁对应、异体来源和义项是否完全合并。
276,教,U+6559,教,,,jiao4|jiao1,攵,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,教育|教导|宗教|使学会,教：现代主要用于表示教育；教导；宗教；使学会。常见用法如：教育、教师、教学、宗教、教书。,教育|教师|教学|宗教|教书,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：jiao4、jiao1；需按义项和常用词复核读音排序。
277,师,U+5E08,師,U+5E2B,師:U+5E2B,shi1,巾,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,老师|军队|榜样|掌握专门技艺的人,师：现代主要用于表示老师；军队；榜样；掌握专门技艺的人。常见用法如：老师、教师、师傅、师生、军师。,老师|教师|师傅|师生|军师,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：師；需复核简繁对应、异体来源和义项是否完全合并。
278,校,U+6821,校,,,xiao4|jiao4,木,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,学校|校对|军官古称,校：现代主要用于表示学校；校对；军官古称。常见用法如：学校、校园、校长、校对、母校。,学校|校园|校长|校对|母校,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：xiao4、jiao4；需按义项和常用词复核读音排序。
279,班,U+73ED,班,,,ban1,王,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,班级|工作组织|轮班|按次序分开,班：现代主要用于表示班级；工作组织；轮班；按次序分开。常见用法如：班级、上班、班长、班车、班子。,班级|上班|班长|班车|班子,draft,pending,pending,pending,none,history_pending,
280,级,U+7EA7,級,U+7D1A,級:U+7D1A,ji2,纟,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,等级|年级|台阶|层次,级：现代主要用于表示等级；年级；台阶；层次。常见用法如：年级、等级、高级、班级、级别。,年级|等级|高级|班级|级别,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：級；需复核简繁对应、异体来源和义项是否完全合并。
281,课,U+8BFE,課,U+8AB2,課:U+8AB2,ke4,讠,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,课程|上课|课业|征收,课：现代主要用于表示课程；上课；课业；征收。常见用法如：上课、课程、课文、课本、功课。,上课|课程|课文|课本|功课,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：課；需复核简繁对应、异体来源和义项是否完全合并。
282,题,U+9898,題,U+984C,題:U+984C,ti2,页,15,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,题目|书写|问题|签署,题：现代主要用于表示题目；书写；问题；签署。常见用法如：题目、问题、标题、主题、题词。,题目|问题|标题|主题|题词,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：題；需复核简繁对应、异体来源和义项是否完全合并。
283,数,U+6570,數,U+6578,數:U+6578,shu4|shu3|shuo4,攵,13,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,数目|计算|列举|责备,数：现代主要用于表示数目；计算；列举；责备。常见用法如：数字、数学、数数、次数、数据。,数字|数学|数数|次数|数据,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：shu4、shu3、shuo4；需按义项和常用词复核读音排序。|含繁体/异体：數；需复核简繁对应、异体来源和义项是否完全合并。
284,词,U+8BCD,詞,U+8A5E,詞:U+8A5E,ci2,讠,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,词语|文辞|语法单位,词：现代主要用于表示词语；文辞；语法单位。常见用法如：词语、歌词、名词、词典、词汇。,词语|歌词|名词|词典|词汇,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：詞；需复核简繁对应、异体来源和义项是否完全合并。
285,话,U+8BDD,話,U+8A71,話:U+8A71,hua4,讠,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,语言|说|话语,话：现代主要用于表示语言；说；话语。常见用法如：说话、电话、话语、普通话、笑话。,说话|电话|话语|普通话|笑话,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：話；需复核简繁对应、异体来源和义项是否完全合并。
286,声,U+58F0,聲,U+8072,聲:U+8072,sheng1,士,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,声音|声调|名声|声称,声：现代主要用于表示声音；声调；名声；声称。常见用法如：声音、声明、声调、名声、无声。,声音|声明|声调|名声|无声,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：聲；需复核简繁对应、异体来源和义项是否完全合并。
287,音,U+97F3,音,,,yin1,音,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,声音|音节|音乐|消息,音：现代主要用于表示声音；音节；音乐；消息。常见用法如：声音、音乐、拼音、音节、语音。,声音|音乐|拼音|音节|语音,draft,pending,pending,pending,none,history_pending,
288,读,U+8BFB,讀,U+8B80,讀:U+8B80,du2|dou4,讠,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,阅读|念出|求学|字音,读：现代主要用于表示阅读；念出；求学；字音。常见用法如：读书、阅读、朗读、读音、读者。,读书|阅读|朗读|读音|读者,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：du2、dou4；需按义项和常用词复核读音排序。|含繁体/异体：讀；需复核简繁对应、异体来源和义项是否完全合并。
289,写,U+5199,寫,U+5BEB,寫:U+5BEB,xie3,冖,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,书写|描写|写作,写：现代主要用于表示书写；描写；写作。常见用法如：写字、书写、写作、描写、填写。,写字|书写|写作|描写|填写,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：寫；需复核简繁对应、异体来源和义项是否完全合并。
290,画,U+753B,畫,U+756B,畫:U+756B,hua4,田,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,绘画|图画|笔画|划分,画：现代主要用于表示绘画；图画；笔画；划分。常见用法如：画画、图画、笔画、画家、计划。,画画|图画|笔画|画家|计划,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：畫；需复核简繁对应、异体来源和义项是否完全合并。
291,报,U+62A5,報,U+5831,報:U+5831,bao4,扌,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,报告|报答|报纸|报复,报：现代主要用于表示报告；报答；报纸；报复。常见用法如：报告、报纸、报名、报答、日报。,报告|报纸|报名|报答|日报,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：報；需复核简繁对应、异体来源和义项是否完全合并。
292,纸,U+7EB8,紙,U+7D19,紙:U+7D19,zhi3,纟,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,纸张|量词,纸：现代主要用于表示纸张；量词。常见用法如：纸张、白纸、报纸、纸条、纸币。,纸张|白纸|报纸|纸条|纸币,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：紙；需复核简繁对应、异体来源和义项是否完全合并。
293,电,U+7535,電,U+96FB,電:U+96FB,dian4,田,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,电气现象|电能|电报电话,电：现代主要用于表示电气现象；电能；电报电话。常见用法如：电话、电视、电力、电脑、电灯。,电话|电视|电力|电脑|电灯,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：電；需复核简繁对应、异体来源和义项是否完全合并。
294,机,U+673A,機,U+6A5F,機:U+6A5F,ji1,木,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,机器|机会|机智|机关,机：现代主要用于表示机器；机会；机智；机关。常见用法如：机器、飞机、机会、手机、机关。,机器|飞机|机会|手机|机关,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：機；需复核简繁对应、异体来源和义项是否完全合并。
295,脑,U+8111,腦,U+8166,腦:U+8166,nao3,月,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,脑子|头脑|脑筋,脑：现代主要用于表示脑子；头脑；脑筋。常见用法如：大脑、电脑、头脑、脑袋、脑筋。,大脑|电脑|头脑|脑袋|脑筋,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：腦；需复核简繁对应、异体来源和义项是否完全合并。
296,站,U+7AD9,站,,,zhan4,立,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,站立|车站|停留点,站：现代主要用于表示站立；车站；停留点。常见用法如：站立、车站、网站、站台、站住。,站立|车站|网站|站台|站住,draft,pending,pending,pending,none,history_pending,
297,船,U+8239,船,,,chuan2,舟,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水上交通工具,船：现代主要用于表示水上交通工具。常见用法如：船只、轮船、小船、船长、上船。,船只|轮船|小船|船长|上船,draft,pending,pending,pending,none,history_pending,
298,空,U+7A7A,空,,,kong1|kong4,穴,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,没有东西|天空|空闲|使空,空：现代主要用于表示没有东西；天空；空闲；使空。常见用法如：天空、空气、空中、空白、有空。,天空|空气|空中|空白|有空,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：kong1、kong4；需按义项和常用词复核读音排序。
299,海,U+6D77,海,,,hai3,氵,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,大洋边缘水域|数量多|大的,海：现代主要用于表示大洋边缘水域；数量多；大的。常见用法如：大海、海洋、海水、海外、人海。,大海|海洋|海水|海外|人海,draft,pending,pending,pending,none,history_pending,
300,江,U+6C5F,江,,,jiang1,氵,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,大河|长江简称,江：现代主要用于表示大河；长江简称。常见用法如：长江、江河、江南、江水、江山。,长江|江河|江南|江水|江山,draft,pending,pending,pending,none,history_pending,
301,河,U+6CB3,河,,,he2,氵,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,河流|银河,河：现代主要用于表示河流；银河。常见用法如：河流、黄河、河水、河边、银河。,河流|黄河|河水|河边|银河,draft,pending,pending,pending,none,history_pending,
302,湖,U+6E56,湖,,,hu2,氵,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,陆地上的大片积水,湖：现代主要用于表示陆地上的大片积水。常见用法如：湖水、湖泊、西湖、江湖、湖边。,湖水|湖泊|西湖|江湖|湖边,draft,pending,pending,pending,none,history_pending,
303,洋,U+6D0B,洋,,,yang2,氵,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,海洋|广大|外国的|银元,洋：现代主要用于表示海洋；广大；外国的；银元。常见用法如：海洋、大洋、洋气、洋人、太平洋。,海洋|大洋|洋气|洋人|太平洋,draft,pending,pending,pending,none,history_pending,
304,岛,U+5C9B,島,U+5CF6,島:U+5CF6,dao3,山,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,水中陆地,岛：现代主要用于表示水中陆地。常见用法如：岛屿、海岛、半岛、岛国、小岛。,岛屿|海岛|半岛|岛国|小岛,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：島；需复核简繁对应、异体来源和义项是否完全合并。
305,村,U+6751,村,,,cun1,木,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,村庄|粗俗,村：现代主要用于表示村庄；粗俗。常见用法如：农村、村庄、村民、乡村、村子。,农村|村庄|村民|乡村|村子,draft,pending,pending,pending,none,history_pending,
306,农,U+519C,農,U+8FB2,農:U+8FB2,nong2,冖,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,农业|农民|种田,农：现代主要用于表示农业；农民；种田。常见用法如：农业、农民、农村、农田、农作物。,农业|农民|农村|农田|农作物,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：農；需复核简繁对应、异体来源和义项是否完全合并。
307,田,U+7530,田,,,tian2,田,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,田地|耕种土地|矿田,田：现代主要用于表示田地；耕种土地；矿田。常见用法如：田地、农田、田野、油田、种田。,田地|农田|田野|油田|种田,draft,pending,pending,pending,none,history_pending,
308,米,U+7C73,米,,,mi3,米,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,谷物去壳后的籽实|长度单位,米：现代主要用于表示谷物去壳后的籽实；长度单位。常见用法如：大米、米饭、米粒、厘米、玉米。,大米|米饭|米粒|厘米|玉米,draft,pending,pending,pending,none,history_pending,
309,肉,U+8089,肉,,,rou4,肉,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,动物肌肉|果肉|肉体,肉：现代主要用于表示动物肌肉；果肉；肉体。常见用法如：肉类、猪肉、肌肉、果肉、肉体。,肉类|猪肉|肌肉|果肉|肉体,draft,pending,pending,pending,none,history_pending,
310,菜,U+83DC,菜,,,cai4,艹,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,蔬菜|菜肴,菜：现代主要用于表示蔬菜；菜肴。常见用法如：蔬菜、白菜、饭菜、菜园、菜市场。,蔬菜|白菜|饭菜|菜园|菜市场,draft,pending,pending,pending,none,history_pending,
311,产,U+4EA7,產,U+7522,產:U+7522,chan3,亠,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,生出|生产|产品|产业,产：现代主要用于表示生出；生产；产品；产业。常见用法如：生产、产品、产业、财产、产量。,生产|产品|产业|财产|产量,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：產；需复核简繁对应、异体来源和义项是否完全合并。
312,品,U+54C1,品,,,pin3,口,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,物品|品质|品级|品尝,品：现代主要用于表示物品；品质；品级；品尝。常见用法如：物品、产品、品质、食品、品种。,物品|产品|品质|食品|品种,draft,pending,pending,pending,none,history_pending,
313,社,U+793E,社,,,she4,礻,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,土地神|团体|社会|社团,社：现代主要用于表示土地神；团体；社会；社团。常见用法如：社会、社团、报社、社区、社员。,社会|社团|报社|社区|社员,draft,pending,pending,pending,none,history_pending,
314,计,U+8BA1,計,U+8A08,計:U+8A08,ji4,讠,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,计算|计划|计谋|计较,计：现代主要用于表示计算；计划；计谋；计较。常见用法如：计划、计算、统计、会计、设计。,计划|计算|统计|会计|设计,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：計；需复核简繁对应、异体来源和义项是否完全合并。
315,定,U+5B9A,定,,,ding4,宀,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,安定|确定|规定|预定,定：现代主要用于表示安定；确定；规定；预定。常见用法如：一定、决定、规定、安定、确定。,一定|决定|规定|安定|确定,draft,pending,pending,pending,none,history_pending,
